booking_id,customer_id,booking_date,departure_date,origin,destination,route,booking_channel,trip_type,customer_type,loyalty_tier,passengers,base_fare_sar,ancillary_revenue_sar,total_revenue_sar,lead_time_days,repeat_customer,lead_time_band
B00001,C0121,2025-05-24,2025-08-02,JED,CAI,JED-CAI,Website,One-way,Leisure,Basic,1,660,109,769,70,Yes,46–90 days
B00002,C0243,2025-06-16,2025-08-18,JED,CAI,JED-CAI,Website,Return,Visiting friends and relatives,Basic,1,599,145,744,63,Yes,46–90 days
B00003,C0103,2025-05-29,2025-07-05,RUH,TBS,RUH-TBS,Online Travel Agency,One-way,Leisure,Basic,3,2147,179,2326,37,Yes,22–45 days
B00004,C0024,2025-04-10,2025-05-19,RUH,IST,RUH-IST,Online Travel Agency,One-way,Business,Silver,2,1499,177,1676,39,Yes,22–45 days
B00005,C0020,2025-07-23,2025-07-25,RUH,DXB,RUH-DXB,Mobile App,Return,Visiting friends and relatives,Gold,3,2167,469,2636,2,Yes,1–7 days
B00006,C0046,2025-04-02,2025-05-13,DMM,JED,DMM-JED,Travel Agent,Return,Leisure,Basic,2,607,151,758,41,Yes,22–45 days
B00007,C0292,2025-04-26,2025-05-18,RUH,DXB,RUH-DXB,Online Travel Agency,Return,Business,No membership,2,1114,94,1208,22,No,22–45 days
B00008,C0142,2025-11-06,2025-12-02,RUH,DXB,RUH-DXB,Website,One-way,Leisure,Gold,3,1637,180,1817,26,Yes,22–45 days
B00009,C0064,2025-06-13,2025-08-23,JED,DMM,JED-DMM,Mobile App,Return,Visiting friends and relatives,No membership,1,306,112,418,71,Yes,46–90 days
B00010,C0169,2025-08-02,2025-08-30,DXB,RUH,DXB-RUH,Website,One-way,Leisure,Basic,2,959,135,1094,28,Yes,22–45 days
B00011,C0059,2025-08-27,2025-11-23,RUH,IST,RUH-IST,Travel Agent,Return,Leisure,Basic,2,1815,154,1969,88,Yes,46–90 days
B00012,C0227,2025-04-14,2025-05-02,DMM,JED,DMM-JED,Mobile App,Return,Visiting friends and relatives,No membership,3,1023,281,1304,18,Yes,8–21 days
B00013,C0018,2025-12-22,2026-02-10,RUH,JED,RUH-JED,Website,One-way,Visiting friends and relatives,Basic,2,580,171,751,50,Yes,46–90 days
B00014,C0277,2025-12-26,2026-02-05,RUH,JED,RUH-JED,Mobile App,One-way,Leisure,Basic,3,795,325,1120,41,Yes,22–45 days
B00015,C0201,2025-09-25,2025-12-16,JED,DMM,JED-DMM,Online Travel Agency,Return,Leisure,No membership,3,826,239,1065,82,No,46–90 days
B00016,C0169,2025-12-17,2026-02-18,JED,RUH,JED-RUH,Website,One-way,Leisure,Basic,1,250,100,350,63,Yes,46–90 days
B00017,C0052,2025-12-03,2025-12-11,IST,RUH,IST-RUH,Website,One-way,Leisure,No membership,3,2859,315,3174,8,Yes,8–21 days
B00018,C0309,2025-11-29,2025-12-03,RUH,DXB,RUH-DXB,Mobile App,One-way,Leisure,Gold,2,1368,302,1670,4,Yes,1–7 days
B00019,C0012,2025-10-26,2025-11-20,CAI,JED,CAI-JED,Mobile App,Return,Business,Silver,2,1103,164,1267,25,Yes,22–45 days
B00020,C0292,2025-08-16,2025-10-02,RUH,IST,RUH-IST,Online Travel Agency,One-way,Visiting friends and relatives,Silver,1,794,162,956,47,Yes,46–90 days
B00021,C0230,2025-11-25,2026-01-21,DMM,JED,DMM-JED,Website,Return,Leisure,No membership,1,289,67,356,57,No,46–90 days
B00022,C0205,2025-05-21,2025-07-27,DMM,JED,DMM-JED,Mobile App,Return,Visiting friends and relatives,Gold,2,598,340,938,67,Yes,46–90 days
B00023,C0052,2025-08-12,2025-08-25,RUH,IST,RUH-IST,Mobile App,One-way,Leisure,Silver,2,1673,250,1923,13,Yes,8–21 days
B00024,C0021,2025-07-05,2025-08-15,RUH,TBS,RUH-TBS,Online Travel Agency,One-way,Leisure,Basic,3,2388,329,2717,41,Yes,22–45 days
B00025,C0095,2025-03-05,2025-05-04,DXB,RUH,DXB-RUH,Website,One-way,Leisure,Basic,1,505,49,554,60,Yes,46–90 days
B00026,C0155,2025-11-30,2026-02-03,RUH,JED,RUH-JED,Website,One-way,Leisure,No membership,3,755,309,1064,65,Yes,46–90 days
B00027,C0262,2025-04-20,2025-07-12,JED,DMM,JED-DMM,Mobile App,One-way,Visiting friends and relatives,Basic,1,305,74,379,83,Yes,46–90 days
B00028,C0226,2025-07-03,2025-09-25,CAI,JED,CAI-JED,Mobile App,Return,Business,Silver,2,1160,134,1294,84,Yes,46–90 days
B00029,C0031,2025-07-13,2025-09-01,DXB,RUH,DXB-RUH,Website,Return,Leisure,Basic,1,493,53,546,50,Yes,46–90 days
B00030,C0291,2025-12-21,2026-02-26,JED,CAI,JED-CAI,Mobile App,Return,Business,No membership,1,676,76,752,67,No,46–90 days
B00031,C0168,2025-02-06,2025-02-27,CAI,JED,CAI-JED,Online Travel Agency,Return,Leisure,Gold,3,2078,232,2310,21,Yes,8–21 days
B00032,C0237,2025-05-03,2025-07-16,JED,DMM,JED-DMM,Online Travel Agency,Return,Leisure,No membership,2,572,119,691,74,No,46–90 days
B00033,C0309,2025-06-12,2025-07-05,RUH,IST,RUH-IST,Travel Agent,Return,Leisure,Basic,1,896,108,1004,23,Yes,22–45 days
B00034,C0268,2025-09-26,2025-09-29,DXB,RUH,DXB-RUH,Mobile App,One-way,Leisure,Silver,3,1963,376,2339,3,Yes,1–7 days
B00035,C0208,2025-07-11,2025-07-16,IST,RUH,IST-RUH,Website,Return,Leisure,Basic,1,1037,109,1146,5,Yes,1–7 days
B00036,C0029,2025-06-17,2025-07-16,RUH,DXB,RUH-DXB,Website,One-way,Leisure,No membership,1,468,96,564,29,Yes,22–45 days
B00037,C0153,2025-10-13,2025-11-29,DMM,JED,DMM-JED,Mobile App,Return,Business,No membership,1,294,69,363,47,Yes,46–90 days
B00038,C0107,2025-02-01,2025-02-19,RUH,IST,RUH-IST,Online Travel Agency,Return,Leisure,No membership,3,2715,232,2947,18,Yes,8–21 days
B00039,C0028,2025-10-03,2025-11-21,RUH,JED,RUH-JED,Website,Return,Business,Basic,2,549,78,627,49,Yes,46–90 days
B00040,C0110,2025-05-24,2025-06-28,JED,RUH,JED-RUH,Mobile App,One-way,Leisure,No membership,1,267,121,388,35,Yes,22–45 days
B00041,C0218,2025-11-17,2026-02-15,TBS,RUH,TBS-RUH,Mobile App,Return,Leisure,Basic,1,724,68,792,90,Yes,46–90 days
B00042,C0180,2025-10-04,2025-12-17,DXB,RUH,DXB-RUH,Mobile App,One-way,Leisure,Basic,1,533,121,654,74,Yes,46–90 days
B00043,C0144,2025-11-09,2026-01-26,JED,RUH,JED-RUH,Mobile App,Return,Leisure,Silver,1,272,59,331,78,Yes,46–90 days
B00044,C0294,2025-02-07,2025-04-14,TBS,RUH,TBS-RUH,Website,One-way,Business,Basic,3,2287,155,2442,66,Yes,46–90 days
B00045,C0327,2025-03-29,2025-04-27,RUH,IST,RUH-IST,Website,One-way,Leisure,Basic,2,1675,183,1858,29,Yes,22–45 days
B00046,C0160,2025-02-16,2025-03-07,RUH,IST,RUH-IST,Online Travel Agency,One-way,Leisure,Silver,1,849,130,979,19,Yes,8–21 days
B00047,C0257,2025-03-20,2025-03-23,JED,DMM,JED-DMM,Mobile App,One-way,Leisure,No membership,3,1019,294,1313,3,No,1–7 days
B00048,C0123,2025-10-25,2025-10-28,CAI,JED,CAI-JED,Website,Return,Leisure,Silver,4,3378,286,3664,3,Yes,1–7 days
B00049,C0130,2025-05-26,2025-08-22,CAI,JED,CAI-JED,Mobile App,One-way,Visiting friends and relatives,No membership,1,645,136,781,88,Yes,46–90 days
B00050,C0199,2025-01-15,2025-02-19,RUH,TBS,RUH-TBS,Mobile App,Return,Visiting friends and relatives,Silver,1,694,129,823,35,Yes,22–45 days
B00051,C0294,2025-12-24,2026-01-01,IST,RUH,IST-RUH,Mobile App,Return,Leisure,Basic,3,2628,233,2861,8,Yes,8–21 days
B00052,C0118,2025-06-12,2025-08-13,IST,RUH,IST-RUH,Mobile App,Return,Visiting friends and relatives,Basic,2,1484,123,1607,62,Yes,46–90 days
B00053,C0301,2025-12-27,2026-03-09,IST,RUH,IST-RUH,Mobile App,One-way,Business,Gold,2,1444,110,1554,72,Yes,46–90 days
B00054,C0104,2025-02-02,2025-03-27,RUH,DXB,RUH-DXB,Mobile App,Return,Leisure,Basic,2,883,171,1054,53,Yes,46–90 days
B00055,C0268,2025-07-27,2025-09-18,JED,RUH,JED-RUH,Online Travel Agency,Return,Leisure,Silver,2,572,139,711,53,Yes,46–90 days
B00056,C0288,2025-04-28,2025-05-21,JED,RUH,JED-RUH,Website,One-way,Visiting friends and relatives,No membership,2,518,284,802,23,No,22–45 days
B00057,C0234,2025-02-24,2025-04-11,JED,CAI,JED-CAI,Website,Return,Visiting friends and relatives,No membership,1,673,74,747,46,No,46–90 days
B00058,C0311,2025-08-07,2025-09-20,JED,CAI,JED-CAI,Website,Return,Visiting friends and relatives,Basic,3,1882,403,2285,44,Yes,22–45 days
B00059,C0326,2025-04-10,2025-06-22,RUH,DXB,RUH-DXB,Website,One-way,Visiting friends and relatives,No membership,1,470,95,565,73,No,46–90 days
B00060,C0152,2025-09-21,2025-09-25,RUH,JED,RUH-JED,Mobile App,One-way,Visiting friends and relatives,Silver,3,945,373,1318,4,Yes,1–7 days
B00061,C0237,2025-02-11,2025-02-12,IST,RUH,IST-RUH,Mobile App,Return,Leisure,No membership,1,1129,89,1218,1,Yes,1–7 days
B00062,C0001,2025-11-19,2025-12-24,DXB,RUH,DXB-RUH,Online Travel Agency,One-way,Leisure,Basic,1,560,119,679,35,Yes,22–45 days
B00063,C0310,2025-06-11,2025-08-06,RUH,IST,RUH-IST,Mobile App,One-way,Visiting friends and relatives,Basic,1,749,87,836,56,Yes,46–90 days
B00064,C0218,2025-09-17,2025-10-30,JED,CAI,JED-CAI,Website,One-way,Leisure,Basic,1,658,53,711,43,Yes,22–45 days
B00065,C0057,2025-10-26,2025-11-14,JED,CAI,JED-CAI,Online Travel Agency,One-way,Business,Basic,2,1396,124,1520,19,Yes,8–21 days
B00066,C0157,2025-08-27,2025-11-24,RUH,DXB,RUH-DXB,Travel Agent,One-way,Visiting friends and relatives,Basic,1,527,126,653,89,Yes,46–90 days
B00067,C0197,2025-12-20,2026-03-20,RUH,JED,RUH-JED,Website,One-way,Visiting friends and relatives,Basic,1,272,106,378,90,Yes,46–90 days
B00068,C0328,2025-07-22,2025-10-08,TBS,RUH,TBS-RUH,Website,Return,Leisure,Basic,1,755,89,844,78,Yes,46–90 days
B00069,C0248,2025-08-19,2025-09-26,CAI,JED,CAI-JED,Website,Return,Visiting friends and relatives,No membership,4,2664,294,2958,38,No,22–45 days
B00070,C0066,2025-09-12,2025-10-18,JED,DMM,JED-DMM,Mobile App,One-way,Leisure,No membership,2,548,244,792,36,Yes,22–45 days
B00071,C0190,2025-04-30,2025-06-29,RUH,JED,RUH-JED,Travel Agent,One-way,Leisure,Basic,3,926,246,1172,60,Yes,46–90 days
B00072,C0191,2025-12-27,2026-02-10,JED,RUH,JED-RUH,Mobile App,One-way,Business,Silver,2,556,134,690,45,Yes,22–45 days
